date,sheet,items
2018-12-10,2018,彩虹坠入/ Iris Fall
2018-12-11,2018,斗地主 | 任天堂大乱斗
2018-12-12,2018,休息
2018-12-13,2018,休息
2018-12-14,2018,模拟农场19 Farming Simulator 19 | 斗地主
2018-12-15,2018,模拟农场19 Farming Simulator 19
2018-12-16,2018,心灵砒霜 | 邮件27
2018-12-17,2018,斗地主 | 模拟农场19 Farming Simulator 19
2018-12-18,2018,节目：有请制作人96 | 幽林怪谈333
2018-12-19,2018,Gris
2018-12-20,2018,休息
2018-12-21,2018,宝藏猎人模拟器/Treasure Hunter Simulator
2018-12-22,2018,奥伯拉丁的回归/Return of the Obra Dinn
2018-12-23,2018,心灵砒霜 | 邮件22
2018-12-24,2018,奥伯拉丁的回归/Return of the Obra Dinn
2018-12-25,2018,王国保卫战起源/Kingdom Rush Origins
2018-12-26,2018,揍击派对/Pummel Party
2018-12-27,2018,休息
2018-12-28,2018,游乐园建造师/ Parkitect
2018-12-29,2018,生病请假
2018-12-30,2018,生病请假
2018-12-31,2018,跨年直播
2019-01-01,2019,跨年直播13 | 生生不息/Life Goes On
2019-01-02,2019,未上锁的房间3/ The Room Three
2019-01-03,2019,未上锁的房间3/ The Room Three
2019-01-04,2019,自然生态/ Equilinox
2019-01-05,2019,年度盛典
2019-01-06,2019,心灵砒霜 | 邮件19
2019-01-07,2019,人类:一败涂地/ Human: Fall Flat | 自然生态/ Equilinox
2019-01-08,2019,奇妙探险队/ The Curious Expedition
2019-01-09,2019,奇妙探险队/ The Curious Expedition
2019-01-10,2019,
2019-01-11,2019,了不起的修仙模拟器
2019-01-12,2019,了不起的修仙模拟器
2019-01-13,2019,心灵砒霜 | 邮件19
2019-01-14,2019,了不起的修仙模拟器
2019-01-15,2019,尤库的小岛速递/ Yoku’s Island Express
2019-01-16,2019,波西亚时光
2019-01-17,2019,休息
2019-01-18,2019,乐园/Rakuen
2019-01-19,2019,乐园/Rakuen
2019-01-20,2019,乐园/Rakuen | 心灵砒霜 | 邮件16
2019-01-21,2019,4周年庆 | 唱歌
2019-01-22,2019,请假
2019-01-23,2019,挖或死/ Dig or Die
2019-01-24,2019,DQ建造者2
2019-01-25,2019,勇者斗恶龙:创世小玩家2
2019-01-26,2019,勇者斗恶龙:创世小玩家2
2019-01-27,2019,The Invisible Guardian/隐形守护者 | 心灵砒霜 | 邮件24
2019-01-28,2019,
2019-01-29,2019,
2019-01-30,2019,勇者斗恶龙:创世小玩家2
2019-01-31,2019,勇者斗恶龙:创世小玩家2
2019-02-01,2019,DQ建造者2
2019-02-02,2019,DQ建造者2
2019-02-03,2019,DQ建造者2
