bvid,pubdate,live_date,duration,cover,title
BV1Y34y1A7aC,2023-09-24,2023-09-23,109:36,https://i0.hdslb.com/bfs/archive/bf01a742fc9b09fa4f4aa3a771d76bc14ad2b346.jpg,女流-2023.9.23-新出道女歌手
BV1kV411c7tu,2023-09-23,2023-09-23,341:13,https://i0.hdslb.com/bfs/archive/768029ebc4426b71080c8fd918f1e4b6830c662d.jpg,女流-2023.9.23-Payday 3
BV1c94y1W7jg,2023-09-22,2023-09-21,228:55,https://i0.hdslb.com/bfs/archive/eb8fa0a6d07fe406eff158f483a310d38dead982.jpg,女流-2023.9.21-匹诺曹的谎言
BV1ap4y1w7Dy,2023-09-22,2023-09-22,224:40,https://i0.hdslb.com/bfs/archive/72d98d44b1f7428286f3c93ccde776a7a3df9b66.jpg,P2-女流-2023.9.22-生化危机4
BV19w41127Bk,2023-09-22,2023-09-22,224:39,https://i0.hdslb.com/bfs/archive/72d98d44b1f7428286f3c93ccde776a7a3df9b66.jpg,P1-女流-2023.9.22-生化危机4
BV1ju411w7mS,2023-09-20,2023-09-18,235:15,https://i0.hdslb.com/bfs/archive/eb8fa0a6d07fe406eff158f483a310d38dead982.jpg,P2-女流-2023.9.18-匹诺曹的谎言
BV1Uw411e7Uj,2023-09-20,2023-09-18,235:19,https://i0.hdslb.com/bfs/archive/eb8fa0a6d07fe406eff158f483a310d38dead982.jpg,P1-女流-2023.9.18-匹诺曹的谎言
BV1Ly4y1F7pd,2023-09-20,2023-09-19,235:16,https://i0.hdslb.com/bfs/archive/eb8fa0a6d07fe406eff158f483a310d38dead982.jpg,P3-女流-2023.9.19-匹诺曹的谎言
BV1tz4y1L78G,2023-09-19,2023-09-17,335:31,https://i0.hdslb.com/bfs/archive/d6adc31768ba57540ea3ce910435296e2cf496f4.jpg,P1-女流-2023.9.17-匹诺曹的谎言&猛兽派对
BV1pu4y1z78R,2023-09-19,2023-09-18,194:14,https://i0.hdslb.com/bfs/archive/79092c540319f636587b8dc9ec56ec9a4366f416.jpg,P3-女流-2023.9.18-匹诺曹的谎言
BV1p94y1p7Rz,2023-09-19,2023-09-18,194:12,https://i0.hdslb.com/bfs/archive/79092c540319f636587b8dc9ec56ec9a4366f416.jpg,P1-女流-2023.9.18-匹诺曹的谎言
BV1bN411H7TT,2023-09-19,2023-09-17,324:59,https://i0.hdslb.com/bfs/archive/79092c540319f636587b8dc9ec56ec9a4366f416.jpg,P2-女流-2023.9.17-匹诺曹的谎言&猛兽派对
BV18F411S7Ap,2023-09-19,2023-09-18,194:13,https://i0.hdslb.com/bfs/archive/79092c540319f636587b8dc9ec56ec9a4366f416.jpg,P2-女流-2023.9.18-匹诺曹的谎言
BV1Sw411i7FL,2023-09-16,2023-09-16,313:58,https://i0.hdslb.com/bfs/archive/d7936c82d7f3fcedcdd3749e46ab121a8242d63c.jpg,女流-2023.9.16-匹诺曹的谎言
BV1fH4y1U7jo,2023-09-15,2023-09-14,400:58,https://i0.hdslb.com/bfs/archive/e340f4a27be9a9d7ac9dd02f2912454985ee7eee.jpg,女流-2023.9.14-街霸
BV1SP411t76x,2023-09-15,2023-09-15,267:45,https://i0.hdslb.com/bfs/archive/735e91fb21e2517d9ca9b44b929887826d7a498e.jpg,女流-2023.9.15-We Were Here Expeditions
BV11w411i7mc,2023-09-15,2023-09-13,313:03,https://i0.hdslb.com/bfs/archive/c012e1f6862f8e9acb7f5b72cb295cfd7654d902.jpg,女流-2023.9.13-岛潮酒店
BV1hp4y1A7HE,2023-09-13,2023-09-12,122:04,https://i0.hdslb.com/bfs/archive/8cc138baf5a10062410801c8e55d4eafcf915d1b.jpg,女流-2023.9.12-无畏契约
BV1GN411W77T,2023-09-13,2023-09-12,282:59,https://i0.hdslb.com/bfs/archive/6560a83a52684acc0f99a54182948bbfc6e18438.jpg,P1-女流-2023.9.12-光头鉴宝
BV1D94y1W7gF,2023-09-13,2023-09-12,61:01,https://i0.hdslb.com/bfs/archive/9cff497c47cc9b5ff8bc007f3a993e50277f3ab5.jpg,P2-女流-2023.9.12-光头鉴宝
BV1tF411r7q2,2023-09-11,2023-09-11,391:52,https://i0.hdslb.com/bfs/archive/1137fda993fa84969cc7b15822bab2bcd5f4f82f.jpg,女流-2023.9.11-A Little to the Left&文字规则怪谈
BV16z4y1j7ms,2023-09-11,2023-09-10,202:13,https://i0.hdslb.com/bfs/archive/e65684981c9dd43d0fdcc3b5f125b9b4d9ce6668.jpg,女流-2023.9.10-心灵砒霜弹幕版
BV1kz4y1j7oM,2023-09-10,2023-09-10,102:55,https://i0.hdslb.com/bfs/archive/d6adc31768ba57540ea3ce910435296e2cf496f4.jpg,女流-2023.9.10-猛兽派对
BV15V411P7qZ,2023-09-10,2023-09-10,202:13,https://i0.hdslb.com/bfs/archive/9b75777d04abccfca3c5a57778d3842a46c41319.jpg,女流-2023.9.10-心灵砒霜
BV16u411w72J,2023-09-09,2023-09-08,346:16,https://i0.hdslb.com/bfs/archive/e340f4a27be9a9d7ac9dd02f2912454985ee7eee.jpg,女流-2023.9.8-街霸
BV1Xu411P7mb,2023-09-08,2023-09-07,192:26,https://i0.hdslb.com/bfs/archive/8c9599d386e41b28474b474120f0f145c9ce8f95.jpg,女流-2023.9.7-街霸明新主播赛
