date,weekday,status,archive_entries,entry_titles,evidence,bounded_recordings_possible,note
2015-09-11,周五,entry-no-replay,"2015-09-11-live-01(live,no-replay);2015-09-11-video-01(video,replay)",新作到手：折纸世界;我的老师是只“熊”女流解说,room-snapshot 2015-09-12 14:11 thumb 2015-09-11 18:45 | listing /directory/columnRoom/game 17:06 「新作到手：折纸世界」,优酷 第五届女流杯建筑大赛（片尾「周日心灵砒霜见」→周五）,
2015-09-12,周六,reported-or-probable,,,tieba 4038446972 23:24 有没有人录了深夜心灵砒霜（何日不明）,,
2015-09-13,周日,entry-with-replay,"2015-09-13-live-01(live,replay)",心灵砒霜,room-snapshot 2015-09-14 11:42 thumb 2015-09-13 17:59 | tieba 4039482219 前天下午有直播,,
2015-09-14,周一,live-confirmed-no-entry,,,tieba 4039482219 09-15 昨天晚上有直播,,
2015-09-16,周三,entry-no-replay,"2015-09-16-live-01(live,no-replay)",户外信号不好直播推迟,listing /directory/game/TVgame 17:51 「户外信号不好直播推迟」 | tieba 4044238239 户外直播讨论,,
2015-09-18,周五,bounded-window,"2015-09-18-video-01(video,replay)",【女流实况】恐怖游戏湖景小屋4章Lakeview Cabin试玩,,优酷 第五届女流杯建筑大赛（片尾「周日心灵砒霜见」→周五）,
2015-09-21,周一,live-confirmed-no-entry,,,room-snapshot 2015-09-23 12:51 thumb 2015-09-21 13:47 | room-snapshot 2015-09-23 14:30 thumb 2015-09-21 13:47,,
2015-09-25,周五,bounded-window,,,,优酷 第五届女流杯建筑大赛（片尾「周日心灵砒霜见」→周五）,
2015-09-27,周日,entry-no-replay,"2015-09-27-live-01(live,dead-src)",心灵砒霜,tieba 4068275521 16:21 怎么突然哭了; 4079886537 砒霜20150927节选,,
2015-09-28,周一,live-confirmed-no-entry,,,tieba 4069587139 16:11 现在不是在么,,
2015-09-29,周二,entry-no-replay,"2015-09-29-live-01(live,no-replay)",旅游照片未整理,room-snapshot 2015-09-30 09:59 thumb 2015-09-29 19:13 | room-snapshot 2015-09-30 12:06 thumb 2015-09-29 19:13 | tieba 4072188846 18:38 转发直播间「旅游照片未整理」,,
2015-10-01,周四,reported-or-probable,,,tieba 4076265658 20:12 签字那游戏 10.1 早上的那部分（疑为请出示文件，未证实）,,
2015-10-02,周五,bounded-window,,,,优酷 第五届女流杯建筑大赛（片尾「周日心灵砒霜见」→周五）,
2015-10-03,周六,live-confirmed-no-entry,,,room-snapshot 2015-10-05 21:43 thumb 2015-10-03 16:51 | room-snapshot 2015-10-06 12:01 thumb 2015-10-03 16:51 | tieba 4079579128 16:00 直播时貌似暴露了自己名字 | 直播间标题 18888888888888888888,,10-03 是她生日；10-05 吧友「等66回北京」
2015-10-09,周五,bounded-window,"2015-10-09-video-01(video,replay)",【女流实况】逆转裁判：复苏的逆转第一章,,优酷 第五届女流杯建筑大赛（片尾「周日心灵砒霜见」→周五）,
2015-10-11,周日,entry-with-replay,"2015-10-11-live-01(live,replay)",心灵砒霜,,,
2015-10-12,周一,entry-with-replay,"2015-10-12-live-01(live,replay)",【女流实况】你之恋与真实之恋,room-snapshot 2015-10-13 00:23 thumb 2015-10-12 19:02,,
2015-10-13,周二,entry-no-replay,"2015-10-13-live-01(live,no-replay)",军师很忙yo yo yo,room-snapshot 2015-10-13 15:37 thumb 2015-10-13 15:34 | room-snapshot LIVE@15:37 「军师很忙yo yo yo」 | listing /directory/game/TVgame 16:55 「军师很忙yo yo yo」,,
2015-10-15,周四,entry-no-replay,"2015-10-15-live-01(live,no-replay)",三娃子拯救世界：dropsy,listing /directory/game/TVgame 16:41 「三娃子拯救世界：dropsy」,,
2015-10-16,周五,entry-no-replay,"2015-10-16-live-01(live,no-replay)",刚录视频迟到了,listing /directory/all?page=1 15:57 「刚录视频迟到了」,优酷 第五届女流杯建筑大赛（片尾「周日心灵砒霜见」→周五）,
2015-10-18,周日,entry-with-replay,"2015-10-18-live-01(live,replay)",心灵砒霜,room-snapshot 2015-10-18 22:27 thumb 2015-10-18 18:07 | tieba 4089160294 14:44 下午直播求截图,,
2015-10-19,周一,live-confirmed-no-entry,,,room-snapshot 2015-10-20 13:05 thumb 2015-10-19 19:00,,
2015-10-20,周二,entry-with-replay,"2015-10-20-live-01(live,replay)",鸟的故事 A Bird Story,room-snapshot 2015-10-21 09:31 thumb 2015-10-20 18:40,,
