account,bvid,live_date,capture_window,title,pubdate,parts,duration_min,disposition,entries,note
bili-fan-kassytan,BV1bg4y1G7ny,2023-04-02,2023-04-02 14:10→2023-04-02 14:14,【女流66】直播回放2023-04-02,2023-04-02 14:27,2,2,partial-or-highlight,2023-04-02-live-01,04-02 开播前 2 分钟碎片；同日 BV1km4y1z7g6 已挂
bili-fan-kassytan,BV1km4y1z7g6,2023-04-02,2023-04-02 14:35→2023-04-02 18:20,【女流66】直播回放2023-04-02,2023-04-02 19:48,8,225,source-existing,2023-04-02-live-01,
bili-fan-kassytan,BV1kN411A7Ms,2023-04-03,2023-04-03 13:37→2023-04-03 19:02,【女流66】直播回放2023-04-03,2023-04-03 20:37,11,325,source-existing,2023-04-03-live-01,
bili-fan-zytau,BV1cV4y1D7WD,2023-04-03,2023-04-03 13:33→2023-04-03 19:02,[2023-04-03 13-33-17][女流66][这巨坑游戏还出了2代],2023-04-04 01:24,2,313,source-existing,2023-04-03-live-01,
bili-fan-kassytan,BV1wM4y1m7Xj,2023-04-04,2023-04-04 13:31→2023-04-04 18:21,【女流66】直播回放2023-04-04,2023-04-04 21:41,10,290,source-existing,2023-04-04-live-01,
bili-fan-kassytan,BV1fV4y1f74F,2023-04-06,2023-04-06 13:31→2023-04-06 18:57,【女流66】直播回放2023-04-06,2023-04-06 20:34,11,325,source-existing,2023-04-06-live-01,
bili-fan-kassytan,BV1cg4y137PY,2023-04-06,2023-04-06 19:45→2023-04-06 20:27,【女流66】直播回放2023-04-06,2023-04-06 21:25,2,42,source-existing,2023-04-06-live-01,
bili-fan-zytau,BV1sN411P73j,2023-04-06,2023-04-06 13:29→2023-04-06 20:27,[2023-04-06 13-29-40][女流66][忘差不多了当新游戏玩],2023-04-07 01:15,2,402,source-existing,2023-04-06-live-01,
bili-fan-kassytan,BV1ys4y1N798,2023-04-08,2023-04-08 13:12→2023-04-08 16:07,【女流66】直播回放2023-04-08,2023-04-08 17:51,7,173,source-existing,2023-04-08-live-01,
bili-fan-kassytan,BV1pa4y1T7iw,2023-04-08,2023-04-08 16:51→2023-04-08 20:10,【女流66】直播回放2023-04-08,2023-04-08 21:23,7,198,source-existing,2023-04-08-live-01,
