date,game,is_show,ac_ids,count,titles
2017-04-02,噗哟噗哟VS俄罗斯方块,False,3595184,1,女流-4.2-噗哟噗哟VS俄罗斯方块
2017-04-02,塞尔达传说,False,3595183,1,女流-4.2-塞尔达传说
2017-04-03,塞尔达传说,False,3597706,1,女流-4.3-塞尔达传说
2017-04-04,12switch,False,3601502,1,女流-4.4-12switch
2017-04-04,塞尔达传说,False,3601510,1,女流-4.4-塞尔达传说
2017-04-04,超级炸弹人R,False,3601511,1,女流-4.4-超级炸弹人R
2017-04-05,塞尔达传说,False,3601688,1,女流-4.5-塞尔达传说
2017-04-06,冒险岛2,False,3611999,1,女流-4.6-冒险岛2
2017-04-06,心灵砒霜,True,3607602,3607601,2,女流-4.6-心灵砒霜-弹幕版 | 女流-4.6-心灵砒霜
2017-04-10,塞尔达传说荒野之息,False,3617769,1,女流-4.10-塞尔达传说荒野之息
2017-04-11,塞尔达传说荒野之息,False,3620435,1,女流-4.11-塞尔达传说荒野之息
2017-04-12,血源诅咒,False,3623220,1,女流-4.12-血源诅咒-day1
2017-04-14,盛世天下之女帝篇,False,3627063,1,女流-4.14-盛世天下之女帝篇
2017-04-15,武则天盛世天下,False,3629867,1,女流-4.15-武则天盛世天下-狼人杀
2017-04-16,心灵砒霜,True,3638083,3632502,2,女流-4.16-心灵砒霜-弹幕版 | 女流-4.16-心灵砒霜
2017-04-16,盛世天下之女帝篇,False,3632501,1,女流-4.16-盛世天下之女帝篇
2017-04-17,星露谷物语,False,3633932,1,女流-4.17-星露谷物语
2017-04-18,俄罗斯方块大战噗呦噗呦,False,3638192,1,女流-4.18-俄罗斯方块大战噗呦噗呦-神奇男孩3龙之陷阱
2017-04-19,神奇男孩3,False,3640849,1,女流-4.19-神奇男孩3-龙之陷阱
2017-04-21,神奇男孩3,False,3643728,1,女流-4.21-神奇男孩3-龙之陷阱
2017-04-23,心灵砒霜,True,3648161,1,女流-4.23-心灵砒霜-弹幕版
2017-04-24,剪剪世界,False,3650804,1,女流-4.24-剪剪世界
2017-05-02,大周，还好么,False,3671580,1,女流-5.2-大周，还好么
2017-05-03,你写我猜,False,3674258,1,女流-5.3-你写我猜-渣哥作死队中的急先锋
2017-05-04,今天不休息,False,3677150,1,女流-5.4-今天不休息
2017-05-05,马里奥赛车,False,3677716,1,女流-5.5-马里奥赛车
2017-05-06,小小噩梦,False,3679707,1,女流-5.6-小小噩梦
2017-05-07,心灵砒霜,True,3686402,3681056,2,女流-5.7-心灵砒霜-弹幕版 | 女流-5.7-心灵砒霜
2017-05-09,汐,False,3688984,1,女流-5.9-汐
2017-05-12,艾迪芬奇的记忆（What Remains of Edith Finch）,False,3694238,1,女流-5.12-艾迪芬奇的记忆（What Remains of Edith Finch）
2017-05-13,final station,False,3696258,1,女流-5.13-final station
2017-05-14,心灵砒霜,True,3701247,3697957,2,女流-5.14-心灵砒霜-弹幕版 | 女流-5.14-心灵砒霜
2017-05-15,final station,False,3701252,1,女流-5.15-final station
2017-05-16,final station,False,3703278,1,女流-5.16-final station
2017-05-17,死亡细胞(Dead Cells）,False,3706532,1,女流-5.17-死亡细胞(Dead Cells）
2017-05-19,死亡细胞(Dead Cells）,False,3711692,1,女流-5.19-死亡细胞(Dead Cells）
2017-05-20,核聚变2017电游嘉年华,False,3713948,1,女流-5.20-核聚变2017电游嘉年华
2017-05-21,心灵砒霜,True,3718887,3715897,2,女流-5.21-心灵砒霜弹幕版 | 女流-5.21-心灵砒霜
2017-05-22,吕牛随缘演唱会,False,3724175,1,女流-5.22-吕牛随缘演唱会
2017-05-22,缺氧（Oxygen Not Included）,False,3719014,1,女流-5.22-缺氧（Oxygen Not Included）
2017-05-23,缺氧（Oxygen Not Included）,False,3755487,1,女流-5.23-缺氧（Oxygen Not Included）
2017-05-24,见证者（The Witness）,False,3740355,1,女流-5.24-见证者（The Witness）
2017-05-29,2017斗鱼嘉年华（武汉）,False,3740240,1,女流-5.29-2017斗鱼嘉年华（武汉）
2017-06-01,见证者（The Witness）,False,3744524,1,女流-6.1-见证者（The Witness）
2017-06-02,见证者（The Witness）,False,3747426,1,女流-6.2-见证者（The Witness）
2017-06-03,见证者（The Witness）,False,3750370,1,女流-6.3-见证者（The Witness）
2017-06-04,心灵砒霜,True,3760083,3751615,2,女流-6.4-心灵砒霜-弹幕版 | 女流-6.4-心灵砒霜
2017-06-05,Switch小游戏,False,3754354,1,女流-6.5-Switch小游戏
2017-06-06,大周庆典特辑,False,3757948,1,女流-6.6-大周庆典特辑
2017-06-08,守望先锋,False,3764055,1,女流-6.8-守望先锋
2017-06-10,LOL英雄联盟,False,3768873,1,女流-6.10-LOL英雄联盟
2017-06-12,洛杉矶之行,False,3773619,1,女流-6.12-洛杉矶之行-发布会之前休整
2017-06-13,育碧发布会,False,3776237,1,女流-6.13-育碧发布会
2017-06-13,酒店休闲时光,False,3776236,1,女流-6.13-酒店休闲时光
2017-06-14,E3展会第一天,False,3780006,1,女流-6.14-E3展会第一天
2017-06-14,任天堂游戏发布会视频,False,3777372,1,女流-6.14-任天堂游戏发布会视频
2017-06-15,E3展会第二天,False,3780119,1,女流-6.15-E3展会第二天
2017-06-15,半夜不睡觉,False,3783663,1,女流-6.15-半夜不睡觉
2017-06-18,心灵砒霜,True,3792599,3789838,2,女流-6.18-心灵砒霜-弹幕版 | 女流-6.18-心灵砒霜
2017-06-20,ARMS,False,3798171,1,女流-6.20-ARMS
2017-06-21,RIME,False,3798217,1,女流-6.21-RIME
2017-06-23,RIME,False,3806231,1,女流-6.23-RIME
2017-06-23,公益项目拍摄现场,False,3806230,1,女流-6.23-公益项目拍摄现场
2017-06-24,KALIMBA（克林巴）,False,3806751,1,女流-6.24-KALIMBA（克林巴）
2017-06-25,心灵砒霜,True,3809425,3808448,2,女流-6.25-心灵砒霜-弹幕版 | 女流-6.25-心灵砒霜
2017-06-26,六酱萌妹的日常,False,3811659,1,女流-6.26-六酱萌妹的日常
2017-06-26,有顶天家族2圣地巡礼,False,3810969,1,女流-6.26-有顶天家族2圣地巡礼
2017-06-27,森见登美彦专访,False,3813739,1,女流-6.27-森见登美彦专访
2017-06-28,下鸭神社&六道珍皇寺之旅,False,3816288,1,女流-6.28-下鸭神社&六道珍皇寺之旅
2017-06-28,星野晚餐,False,3817325,1,女流-6.28-星野晚餐
2017-06-29,吉原正行专访（有顶天家族2导演）,False,3819521,1,女流-6.29-吉原正行专访（有顶天家族2导演）
2017-06-30,回国之前剪个头,False,3822160,1,女流-6.30-回国之前剪个头
2017-07-01,唱亿首歌,False,3824379,1,女流-7.1-唱亿首歌
2017-07-01,空洞骑士,False,3824362,1,女流-7.1-空洞骑士
2017-07-04,ibb & obb,False,3831751,1,女流-7.4-ibb & obb
2017-07-06,Move or Die,False,3840960,1,女流-7.6-Move or Die
2017-07-07,小小噩梦DLC,False,3839485,1,女流-7.7-小小噩梦DLC
2017-07-08,今天聊60块钱的,False,3841142,1,女流-7.8-今天聊60块钱的
2017-07-09,心灵砒霜,True,3842844,1,女流-7.9-心灵砒霜
2017-07-09,心灵砒霜&抽奖,True,3845194,1,女流-7.9-心灵砒霜&抽奖-弹幕版
2017-07-10,组装小书架,False,3845192,1,女流-7.10-组装小书架
2017-07-11,Night in the Woods夭折改播守望先锋,False,3848060,1,女流-7.11-Night in the Woods夭折改播守望先锋
2017-07-15,设备调试，直播随缘,False,3857560,1,女流-7.15-设备调试，直播随缘
2017-07-16,泡泡来做客，六酱掌勺,False,3860856,1,女流-7.16-泡泡来做客，六酱掌勺
2017-07-17,心灵砒霜,True,3862468,3860922,2,女流-7.17-心灵砒霜-弹幕版 | 女流-7.17-心灵砒霜
2017-07-18,我的世界,False,3863109,1,女流-7.18-我的世界
2017-07-21,我的世界,False,3870123,1,女流-7.21-我的世界
2017-07-22,我的世界,False,3871741,1,女流-7.22-我的世界
2017-07-23,你说我猜,False,3875204,1,女流-7.23-你说我猜
2017-07-23,心灵砒霜,True,3873035,1,女流-7.23-心灵砒霜
2017-07-26,PlayStation 中国发布会,False,3880329,1,女流-7.26-PlayStation 中国发布会
2017-07-28,与武人叔畅聊主机游戏的那些事儿,False,3884995,1,女流-7.28-与武人叔畅聊主机游戏的那些事儿
2017-07-28,首次直播试玩真三国无双8,False,3884994,1,女流-7.28-首次直播试玩真三国无双8
2017-07-29,狼叔说游戏——专访女流&壮壮,False,3886534,1,女流-7.29-狼叔说游戏——专访女流&壮壮
2017-08-01,我的世界,False,3891890,1,女流-8.1-我的世界
2017-08-02,我的世界,False,3896510,1,女流-8.2-我的世界
2017-08-04,大周MC第八天：末影龙,False,3899264,1,女流-8.4-大周MC第八天：末影龙
2017-08-05,绝地求生,False,3900684,1,女流-8.5-绝地求生
2017-08-07,大周MC第九天：末地之城,False,3904373,1,女流-8.7-大周MC第九天：末地之城
2017-08-08,半夜不睡觉聊一聊,False,3904704,1,女流-8.8-半夜不睡觉聊一聊
2017-08-08,大周MC第十天：建筑大赛,False,3906556,1,女流-8.8-大周MC第十天：建筑大赛
2017-08-09,大周有嘻哈,False,3908573,1,女流-8.9-大周有嘻哈
2017-08-11,我的世界中国版PC不限号,False,3913398,1,女流-8.11-我的世界中国版PC不限号
